"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CNTFR",-2.07463946648295,7.30479437168659,-13.0605778802291,2.07658408637953e-28,4.14776905413448e-24,53.5748995872322,"Downregulated"
"FAM47E-STBD1",-1.38192061426544,7.18311176908659,-11.6759649286762,3.21210056431076e-24,3.20792483357716e-20,44.2025731306644,"Downregulated"
"PAQR5",-2.0094767731177,7.44924796613361,-11.1201719771935,1.47640308994503e-22,6.22088683560687e-19,40.4808515333683,"Downregulated"
"CNTN4",-1.18169699289019,5.58996068299078,-11.0857853029621,1.8686953546431e-22,6.22088683560687e-19,40.2517229350563,"Downregulated"
"FRMD1",-1.14863440357732,6.67542489754287,-10.8862205695867,7.31278398053232e-22,1.62295052474614e-18,38.9249465747334,"Downregulated"
"SLC38A4",-1.51608650211172,4.71054817241405,-10.1893550883056,8.17400613428476e-20,9.60397638389435e-17,34.3381651276471,"Downregulated"
"GUCA2B",-2.22703238201741,9.72396378218319,-9.35150050139567,2.09670397142015e-17,1.39598550417154e-14,28.9445231951081,"Downregulated"
"MT1M",-2.52749534300172,9.01432390040732,-9.06001659293263,1.38912559500257e-16,7.11446016271315e-14,27.1066689927295,"Downregulated"
"MT1H",-1.71755325390749,8.23496503533138,-8.97994298514304,2.32597437125013e-16,1.13314663637439e-13,26.6057586024494,"Downregulated"
"NAAA",-1.34514265611665,9.80706017005765,-8.95912753033966,2.65871762334671e-16,1.26441013830303e-13,26.4758364310618,"Downregulated"
"TLCD4",-1.48458787454837,8.33459584104588,-8.88637737546013,4.23837596626521e-16,1.84037655543872e-13,26.0227190760799,"Downregulated"
"MT1JP",-1.102516013231,7.15234806508163,-8.63331190906015,2.1206261368425e-15,8.30536989358669e-13,24.458581008301,"Downregulated"
"CNKSR3",-1.27837398783531,7.78613415894478,-8.62456871657758,2.24116104791897e-15,8.60864437906415e-13,24.4048871622336,"Downregulated"
"CDC14A",-1.4610183443968,8.28699094330742,-8.59281489732468,2.73894310575357e-15,1.03221980366645e-12,24.2100798146808,"Downregulated"
"TMEM63C",-1.2125564041514,5.58787669775004,-8.54981691521285,3.59187233839092e-15,1.2586676857372e-12,23.9467936114222,"Downregulated"
"IGSF9",-1.00325218060619,7.5036626311552,-8.22119067151383,2.79627433689382e-14,6.81131507379477e-12,21.9543984026849,"Downregulated"
"MT1A",-1.08510943316288,8.2082171622609,-8.21134778651346,2.97188544478459e-14,6.98358116166206e-12,21.8952837871425,"Downregulated"
"MT1P3",-1.04770154332131,8.82269552009626,-8.04998377152564,8.02773028779753e-14,1.62890225068533e-11,20.9310219693316,"Downregulated"
"MIER3",-1.07316080168402,9.35105254457781,-8.0188492566477,9.71399312804441e-14,1.87006874765658e-11,20.7460451540711,"Downregulated"
"EFNA1",-1.11253764596764,8.20793358430211,-8.00786136442419,1.03892625417309e-13,1.9393937383975e-11,20.6808481009456,"Downregulated"
"RUNDC3B",-1.34255733100751,6.57354033781431,-7.99599105841648,1.11710548599514e-13,2.01563803013828e-11,20.61046490181,"Downregulated"
"HOXA6",-1.25336768611341,7.84540395811834,-7.99383203930961,1.13193856988146e-13,2.0186911602511e-11,20.5976688804625,"Downregulated"
"SLC19A3",-1.38182541678905,7.07296483385485,-7.94853098523768,1.49228739740887e-13,2.48391237298707e-11,20.3295762666308,"Downregulated"
"ACSF2",-1.72533772251447,8.17479666578321,-7.91737494732213,1.80390233831694e-13,2.95337256602809e-11,20.145636477848,"Downregulated"
"SLC22A5",-1.57121275059429,8.55691195909886,-7.86506199101668,2.47827111931264e-13,3.89771553835832e-11,19.8376095992469,"Downregulated"
"RNF152",-1.27540987864874,8.10428415809159,-7.83002227587201,3.06400773533001e-13,4.59573839985191e-11,19.6318705619575,"Downregulated"
"PFN2",-1.23481070103455,8.12079714525417,-7.82439652539486,3.17003916471419e-13,4.64435529273687e-11,19.59888214036,"Downregulated"
"SEMA5A",-1.0400043738006,9.01709521928855,-7.82359053337641,3.18552455744944e-13,4.64435529273687e-11,19.5941569373266,"Downregulated"
"B4GALNT2",-1.80005561930597,7.52604929308844,-7.8195555721252,3.26418019544786e-13,4.70900304394775e-11,19.5705053505727,"Downregulated"
"MT1X",-1.20479460529879,10.5324785789272,-7.81890619038737,3.27701723795302e-13,4.70900304394775e-11,19.5666994770517,"Downregulated"
"TRPV3",-1.04701476710816,6.5213477168755,-7.80737524597676,3.51346289412002e-13,4.94210618641925e-11,19.4991463253083,"Downregulated"
"CDHR1",-2.11900559408352,7.63750654490326,-7.69737893072241,6.81152908814421e-13,8.55682276771022e-11,18.8573371388776,"Downregulated"
"MT1G",-1.46145635331468,11.5561090496239,-7.59756944421195,1.23694028362655e-12,1.34091766255858e-10,18.2791069934131,"Downregulated"
"AQP7P3",-1.62584315882105,6.5512692520303,-7.58336963082504,1.3460814343963e-12,1.43778773104982e-10,18.1971686262159,"Downregulated"
"TDP2",-1.11409969635342,9.88228719917765,-7.4976262217633,2.23904593502732e-12,2.19228938756058e-10,17.7041494574231,"Downregulated"
"PHLPP2",-1.70048710787093,8.98201009277519,-7.47578636279026,2.54767507449841e-12,2.43479722191537e-10,17.5790570023089,"Downregulated"
"MT1F",-1.53647553530673,11.3555888920401,-7.46302726343514,2.74705758635539e-12,2.57604357886678e-10,17.5060685931979,"Downregulated"
"BMP3",-1.87757822066075,7.54701903833854,-7.45767133552687,2.83527772696962e-12,2.60976208840974e-10,17.4754503112057,"Downregulated"
"CYP2B6",-2.70925027600325,7.95422325740687,-7.3968996739381,4.05506360332567e-12,3.56809869660031e-10,17.1288822449126,"Downregulated"
"CHAD",-1.14011505806836,7.26286148123028,-7.39057685421717,4.20850234671709e-12,3.65480982057945e-10,17.0929143226108,"Downregulated"
"PDK2",-1.31607483929277,8.53679911362378,-7.38533368632894,4.34007953879824e-12,3.7205471548479e-10,17.063101003969,"Downregulated"
"OTOP2",-2.05180600286038,8.30910399862263,-7.3517630285372,5.28425646488225e-12,4.25595720280476e-10,16.872492302656,"Downregulated"
"SUGCT",-1.00869948801016,5.83710390016856,-7.29433914842279,7.39145221875859e-12,5.63499490906428e-10,16.5475733274601,"Downregulated"
"CDKN2B",-1.23716589328224,8.82971851549854,-7.27015076572027,8.51016841329518e-12,6.3663709321033e-10,16.4111378404691,"Downregulated"
"HSD17B2",-1.43356822873799,9.72048952123202,-7.19855750750201,1.28961332430305e-11,9.02454303879817e-10,16.0088194703957,"Downregulated"
"SLC52A3",-1.00706638299815,8.24997560528342,-7.16513794253263,1.56456475609316e-11,1.05576406885827e-09,15.8217965500362,"Downregulated"
"ETFDH",-1.09550875395912,8.71044148685169,-7.09027532205189,2.40787431309585e-11,1.4982829137002e-09,15.4046717618517,"Downregulated"
"TINAG",-1.33845200181762,6.99116240050772,-7.07385864904049,2.64574857266233e-11,1.60102344183555e-09,15.3135401680598,"Downregulated"
"NAT8",-1.75836076164306,6.05661803675765,-7.0733719954985,2.65314288198441e-11,1.60102344183555e-09,15.3108405548899,"Downregulated"
"CNGA1",-1.16365142426929,5.03732126683941,-7.07148911906132,2.68194415733742e-11,1.61352869273065e-09,15.3003966950111,"Downregulated"
"TRHDE",-1.51527287262657,5.76049726530929,-6.96938693546969,4.80483656431089e-11,2.67330934639403e-09,14.736507718866,"Downregulated"
"RHOU",-1.20230758706296,9.81714162882714,-6.94116254318078,5.6404524468575e-11,3.09512080147065e-09,14.5814863386312,"Downregulated"
"RMDN2",-1.09415690845299,6.83556748391855,-6.93709797346213,5.77203428865205e-11,3.13920432280569e-09,14.5591926870783,"Downregulated"
"TRPM6",-1.94595861049466,8.14903228964018,-6.92375846723608,6.22549133316084e-11,3.31118446608646e-09,14.4860819147809,"Downregulated"
"PKIB",-1.0122996153041,7.43452159421036,-6.9143871566015,6.56487352545662e-11,3.45070483677554e-09,14.4347701853083,"Downregulated"
"HSD3B1",-1.49798415500938,6.00307490945953,-6.88311171270375,7.83489257875214e-11,3.96895078294797e-09,14.2638258848616,"Downregulated"
"ENPP1",-1.04802655107755,8.2284533133017,-6.84274845818744,9.83702046785468e-11,4.79928330783356e-09,14.0438993773745,"Downregulated"
"SLC51B",-1.66317664331513,9.43624806431628,-6.79583704333777,1.2802878377518e-10,5.91955307204966e-09,13.7892787610819,"Downregulated"
"ENTPD5",-1.41292318576964,9.2888490760888,-6.79388955267428,1.2943414476158e-10,5.97071040985635e-09,13.7787314160325,"Downregulated"
"CYP2B7P",-2.07909448124389,6.74866405177598,-6.73179895376865,1.83146009620603e-10,7.90099005650523e-09,13.4434270704927,"Downregulated"
"GABRA2",-1.18600465365407,6.02852516845274,-6.63231449444118,3.18159472087878e-10,1.27353052013693e-08,12.9101527137167,"Downregulated"
"FMO4",-1.29755519569958,7.5924034069724,-6.60414797415385,3.71679864903573e-10,1.45328239901757e-08,12.7600682945028,"Downregulated"
"SGK2",-1.10446836045124,8.13072689396657,-6.55933531387309,4.7560609902598e-10,1.80603730455227e-08,12.5221126529856,"Downregulated"
"TMIGD1",-2.82962017430993,8.83956625308716,-6.52835340931063,5.63667832685133e-10,2.08660309304851e-08,12.3581966225093,"Downregulated"
"SLC17A4",-1.85321970427475,8.54746016941705,-6.51299673656919,6.13075366290777e-10,2.22646679387127e-08,12.2771314247087,"Downregulated"
"ABCG2",-2.79670096764062,8.11395780849782,-6.51212279934016,6.16011713696667e-10,2.2290249944524e-08,12.2725217094949,"Downregulated"
"PTPRR",-1.16343323156064,7.88332445607106,-6.50288728417568,6.47899802930658e-10,2.32336636691867e-08,12.2238316227903,"Downregulated"
"SLC23A3",-1.68166773595106,7.407166033395,-6.49835330177404,6.64143029760135e-10,2.36885587079088e-08,12.1999443412629,"Downregulated"
"SLC26A2",-2.38320130639949,9.30088221372761,-6.49147485961635,6.89552604017605e-10,2.43772101108808e-08,12.1637255416228,"Downregulated"
"USP2",-1.2587030898874,8.31960843666243,-6.48197634439825,7.26218224714705e-10,2.54482154744764e-08,12.1137508242552,"Downregulated"
"PPARGC1A",-1.30882881268221,8.41552928087843,-6.43948485084859,9.1511528332539e-10,3.07116642646737e-08,11.8907628860795,"Downregulated"
"MGC32805",-1.33880896561157,5.16785176395231,-6.42819854525997,9.72923004473181e-10,3.20679275434774e-08,11.8316925176105,"Downregulated"
"ACOX1",-1.04190686588977,9.9156675941857,-6.35099724278818,1.47667502329635e-09,4.52271450010032e-08,11.4294316077479,"Downregulated"
"HMGCS2",-2.57067086949979,9.17797178595121,-6.30721137893977,1.86836805955428e-09,5.47164749143317e-08,11.2026882293957,"Downregulated"
"MATN2",-1.14410479790297,8.44076497381954,-6.29588044532667,1.98533180999346e-09,5.7638106937223e-08,11.1441784866559,"Downregulated"
"TUBAL3",-1.45039889358661,7.38883452521487,-6.24255433551378,2.63964676474236e-09,7.31266358931539e-08,10.8697462737377,"Downregulated"
"CNTN3",-1.05130136436678,5.45620433782203,-6.15104524527096,4.28855668636969e-09,1.10958071571953e-07,10.4024191077992,"Downregulated"
"INPP5J",-1.17959753511415,7.61646159798979,-6.1482662282974,4.35192430698347e-09,1.11729223788802e-07,10.3882989318492,"Downregulated"
"GDPD2",-1.21992705259261,6.8841047606744,-6.13729966182932,4.61106976317492e-09,1.16731948605394e-07,10.3326195226729,"Downregulated"
"ABCB1",-2.10911285702916,8.38109678765449,-6.09899439115841,5.64057205295979e-09,1.39264259809418e-07,10.1386596979805,"Downregulated"
"SLC30A10",-1.65554232646476,8.27581482234116,-6.04560272519473,7.45994749230733e-09,1.75920886908319e-07,9.86967633540219,"Downregulated"
"GUCA2A",-2.22351539804529,10.6519644758976,-6.04363086641304,7.53714373146354e-09,1.7753173218426e-07,9.85977290990896,"Downregulated"
"SLC10A5",-1.32818888395165,8.36951753884452,-6.02695219607109,8.2221834388682e-09,1.91857350476581e-07,9.77609402246203,"Downregulated"
"VIPR1",-1.17768138247096,8.95345440799479,-5.94040598363124,1.28812371887335e-08,2.7966286044322e-07,9.3444177140147,"Downregulated"
"SLC36A1",-1.27686761712357,9.16073281043665,-5.91005971746993,1.50623200682118e-08,3.1924078981538e-07,9.19407160863292,"Downregulated"
"TMEM252",-1.9354338850958,6.00314594136477,-5.88193652412854,1.74039875743286e-08,3.60235489958176e-07,9.05521424670428,"Downregulated"
"GCNT2",-1.01169964822902,6.60146095693444,-5.85049597516757,2.04445958621707e-08,4.12485209849493e-07,8.90052129660111,"Downregulated"
"PADI2",-1.77945130923892,9.22262353206187,-5.78553387838025,2.8463786152791e-08,5.55210609976413e-07,8.58272849457091,"Downregulated"
