"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"LCN2",3.2785127547033,11.1382115620418,11.2978927477908,4.35801795468648e-23,2.90156835423026e-19,41.6673047425351,"Upregulated"
"IFITM3",1.3830604778682,10.1937241190192,11.0978516248793,1.72043038274013e-22,6.22088683560687e-19,40.3321078042643,"Upregulated"
"BACE2",1.423194455333,10.3321960839835,10.6950480892622,2.68782513247965e-21,4.72011414994952e-18,37.65907472474,"Upregulated"
"SLC6A14",4.5749060841673,9.36105882023424,10.6887360695154,2.80559892298559e-21,4.72011414994952e-18,37.6173695494572,"Upregulated"
"S100A11",1.2196219874781,11.5865769830154,10.4376764949979,1.53661926581107e-20,2.19231665823645e-17,35.9635731611302,"Upregulated"
"PLS3",1.18851030408462,8.0815403580944,10.048033796767,2.10526853913182e-19,2.21319125266416e-16,33.4181449110839,"Upregulated"
"PARP8",1.0630813282269,8.40180775442499,9.81069182913006,1.0219528622899e-18,1.02062432356893e-15,31.881876476025,"Upregulated"
"NFKBIZ",1.26600975813474,8.98613035676078,9.7303013099724,1.7404226539579e-18,1.5801455495525e-15,31.3641877863664,"Upregulated"
"DUOX2",4.12867289205435,10.9369464031406,9.67565036301445,2.49741714260495e-18,2.16884391332136e-15,31.0130578959523,"Upregulated"
"PIK3R3",1.2264977176285,8.128936636904,9.592794150438,4.31231803914212e-18,3.58892668807603e-15,30.4819841116334,"Upregulated"
"CDC25B",1.18011221819645,8.26698903004141,9.57625953469461,4.80803651228418e-18,3.84142885185457e-15,30.3761911153747,"Upregulated"
"MXRA5",2.06006144536925,9.29101315246435,9.44530691181706,1.13566256798918e-17,7.82197383897101e-15,29.5405763128605,"Upregulated"
"CD55",1.52509072767174,11.160140648615,9.33142293784904,2.39005499344809e-17,1.53996640126233e-14,28.8172306613984,"Upregulated"
"STXBP1",1.10502812173297,8.49345123777875,9.29728854123386,2.98534182832306e-17,1.84713792719633e-14,28.6010490463202,"Upregulated"
"TIMP1",2.17752953322319,11.1304386170592,9.08153799213686,1.20904690474786e-16,6.48336136200592e-14,27.2415984995438,"Upregulated"
"NOS2",2.70204604268637,10.3200648379064,8.98270873269034,2.28499660469002e-16,1.13314663637439e-13,26.6230304729019,"Upregulated"
"LPCAT1",1.22803215474795,8.90221490245909,8.92159128346464,3.38259561050255e-16,1.53554465282222e-13,26.2418577162011,"Upregulated"
"ANXA5",1.24619953713296,10.5060468036598,8.71175739405489,1.29001846654407e-15,5.25853650015332e-13,24.9413823198006,"Upregulated"
"SETD7",1.02599068735342,8.2822067720568,8.53869107258203,3.85251830053537e-15,1.3267275954292e-12,23.8787626530539,"Upregulated"
"C2",1.43355691831358,7.46475712445407,8.44702848988558,6.85085823533398e-15,2.07953193038002e-12,23.3197829573201,"Upregulated"
"IFITM2",1.25995091302687,9.60827438512047,8.43031302775124,7.60690229129141e-15,2.23441568185669e-12,23.2181412940791,"Upregulated"
"IFITM1",1.05676801430046,11.3154577542734,8.34259906047326,1.3155896226438e-14,3.7010686088292e-12,22.6862881856948,"Upregulated"
"MUC1",2.15110207699912,10.8567431933084,8.30219903288786,1.69171320960535e-14,4.62880543132291e-12,22.4421868197776,"Upregulated"
"DUOXA2",3.44389286660934,9.25407963772857,8.26357173572396,2.1503921080602e-14,5.6515699955782e-12,22.2093137525664,"Upregulated"
"HIF1A",1.14679229754178,11.0138663945174,8.25054283580741,2.33137081332634e-14,6.03760531339866e-12,22.1308811826049,"Upregulated"
"TRIB2",1.32529218891422,8.25457794908517,8.21584640096801,2.89030750828585e-14,6.95554243018091e-12,21.9222974954975,"Upregulated"
"PDZK1IP1",1.69255469309122,10.2698560264088,8.17779315111676,3.65678307343949e-14,8.34123476550522e-12,21.6940140079856,"Upregulated"
"MTHFD2",1.02520181805985,8.69162768370249,8.15207759041,4.28557989622062e-14,9.61799694911355e-12,21.5400319581128,"Upregulated"
"WARS1",1.70193857068234,10.373661139015,8.10284943591667,5.80290942432034e-14,1.23305651958909e-11,21.2459110681905,"Upregulated"
"STAT1",1.09005375461365,10.9160246125683,8.06629694378315,7.26349998027971e-14,1.51126196464695e-11,21.0280823990094,"Upregulated"
"CXCL1",2.46374860463075,9.57402757886584,8.01666734470395,9.8445320294786e-14,1.87271126435053e-11,20.7330951888794,"Upregulated"
"BMAL2",1.22500159172283,7.51388606217125,8.00117334500503,1.08228255503765e-13,2.00162145873352e-11,20.6411861363372,"Upregulated"
"NUCB2",1.07129028299163,8.69555508991236,7.96038225887229,1.38829875679669e-13,2.34998977697094e-11,20.3996390186937,"Upregulated"
"FBXO16",1.06961981116327,6.26156869083921,7.92775620458139,1.69350954493087e-13,2.79555038433465e-11,20.2068853315176,"Upregulated"
"IDO1",3.12185804360702,8.59102639562756,7.90427275534693,1.95344767452466e-13,3.17220844316712e-11,20.0683919237934,"Upregulated"
"TRIM22",1.19891195885287,8.47900659406209,7.88169845539417,2.24042781122487e-13,3.58002440811244e-11,19.9354556665304,"Upregulated"
"FKBP11",1.04454291112751,8.05262641542771,7.85522882065649,2.63042915483804e-13,4.10470249521367e-11,19.7798259639524,"Upregulated"
"KCND3",1.51923242770292,7.1753754267279,7.83220993188548,3.02373036812101e-13,4.57545381612493e-11,19.6447018708142,"Upregulated"
"RBPMS",1.1857031581999,7.94841158979379,7.82899237437995,3.08315282657533e-13,4.59573839985191e-11,19.6258304918037,"Upregulated"
"SAMD9L",1.26185311563195,9.93390478757719,7.77276925573696,4.32919705974326e-13,5.92269740214465e-11,19.2967179052773,"Upregulated"
"MLKL",1.01747205655803,7.88613328814453,7.74817639369004,5.02021391169035e-13,6.65381827828527e-11,19.1531440727533,"Upregulated"
"IL1B",2.96701950929465,8.60243323504068,7.72067072047255,5.9228977545242e-13,7.63097359329023e-11,18.992845312029,"Upregulated"
"ASPHD2",1.08003778283542,7.54757143369872,7.63633552535951,9.81558515991936e-13,1.15327351755429e-10,18.5032175877309,"Upregulated"
"IGKV1-5",2.29373240043176,11.1133950907338,7.6276116387083,1.03404665117926e-12,1.19387559599159e-10,18.452731085723,"Upregulated"
"VWF",1.50728631505734,7.89748869151379,7.61531727385978,1.11275914673875e-12,1.26285518164544e-10,18.3816336901105,"Upregulated"
"IL1RN",2.09212703296535,8.18721801502712,7.60297139258975,1.19775876971976e-12,1.3291129814657e-10,18.31029978825,"Upregulated"
"APOL1",1.51749934948197,8.80113394365802,7.55564301666317,1.58735643212702e-12,1.65134673829714e-10,18.0374121599832,"Upregulated"
"SLFN5",1.05907573758823,9.12019725573997,7.50345227640121,2.16315839915545e-12,2.13895672597678e-10,17.7375529344523,"Upregulated"
"MMP1",3.31634306950793,9.42675727488629,7.46067880466832,2.7854012124599e-12,2.58812215704775e-10,17.4926416583102,"Upregulated"
"IGHG4",2.03933052545976,11.3623461781063,7.42278714091652,3.48242139311672e-12,3.14741560661147e-10,17.2763223789661,"Upregulated"
"PTPN13",1.1169694420022,6.69301305191851,7.39795416119225,4.030017200297e-12,3.5617505999439e-10,17.1348824436996,"Upregulated"
"SLC7A11",1.9390485608228,7.88989686329863,7.34695015422786,5.43528977487989e-12,4.36001919531931e-10,16.8452051824056,"Upregulated"
"IGFBP5",1.87252561740713,9.94182588724619,7.30184913586819,7.07462862081536e-12,5.434947387391e-10,16.5899855724371,"Upregulated"
"MMP3",3.70709815760537,8.18765052956315,7.29347169705408,7.4289380362493e-12,5.64203833977351e-10,16.5426760239343,"Upregulated"
"FCGR3B",2.10710430887586,8.30876120621985,7.28885487053055,7.63162888055239e-12,5.77402103258157e-10,16.5166166746485,"Upregulated"
"PHLDA1",1.45563881903131,8.25899343872994,7.27421654383672,8.31107886807738e-12,6.24080786883375e-10,16.4340531491917,"Upregulated"
"GPX8",1.11616992317557,5.9893173191804,7.24258477361129,9.98987116344414e-12,7.30907276991331e-10,16.25596312111,"Upregulated"
"ELK2AP",1.73095772323216,10.0393663993858,7.22503127302982,1.10616297547376e-11,8.00525335946116e-10,16.1573250895692,"Upregulated"
"IGKV3D-15",2.18005988913994,10.7080447442874,7.21387436437414,1.1801025829114e-11,8.46166313954846e-10,16.0947020856232,"Upregulated"
"GBP4",1.79319311432411,8.46724819442477,7.21280002452332,1.18747487776963e-11,8.47093686020378e-10,16.088674796241,"Upregulated"
"DRAM1",1.42990900038042,7.61864701897156,7.21196769249509,1.1932177097502e-11,8.48161228987559e-10,16.0840055772828,"Upregulated"
"CFI",1.89975175457082,7.64436538884327,7.18230095547192,1.4168206031212e-11,9.72493976864018e-10,15.9177820940988,"Upregulated"
"OAS2",1.2812158341736,8.12325299471147,7.17150109069023,1.50809532386992e-11,1.02807836173986e-09,15.8573676000047,"Upregulated"
"DAPP1",1.37526360140892,7.13231795506933,7.16758779256046,1.54258085493201e-11,1.04695060984055e-09,15.8354894696508,"Upregulated"
"IGHG1",1.73668367294217,11.3801252410172,7.15259062720869,1.68209781319324e-11,1.10520466186585e-09,15.75170818002,"Upregulated"
"ADAMTS9",1.4406197551972,7.56126950852461,7.11675416029164,2.06790669664429e-11,1.32811473822421e-09,15.5519186662037,"Upregulated"
"SOCS3",1.7104199540484,7.94856848786412,7.11180777789476,2.12759826979169e-11,1.34909993145458e-09,15.5243880088388,"Upregulated"
"CXCL2",1.68153176936364,7.947527789132,7.08242924548201,2.51880705515116e-11,1.5527979049256e-09,15.3611015784802,"Upregulated"
"UBD",1.98361879149465,8.95529013061438,7.08079064668865,2.54260316868222e-11,1.56264479050026e-09,15.3520057929665,"Upregulated"
"PRDM1",1.45693294201472,9.29645168283526,7.05109751444644,3.01431248289557e-11,1.79190111706417e-09,15.187393465794,"Upregulated"
"STEAP4",2.00165630741378,7.25053993011624,7.03965999881357,3.2181884244531e-11,1.8961680115052e-09,15.1240943190574,"Upregulated"
"F3",1.00224248513096,8.81509089951178,7.01134909236962,3.78316781501317e-11,2.18687176395638e-09,14.9676716236544,"Upregulated"
"MIR21",1.18323149785105,9.40738427941722,7.01050552720973,3.80142305225247e-11,2.18687176395638e-09,14.9630164694343,"Upregulated"
