"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CNTFR",-2.07463946648295,7.30479437168659,-13.0605778802291,2.07658408637953e-28,4.14776905413448e-24,53.5748995872322,"Downregulated"
"FAM47E-STBD1",-1.38192061426544,7.18311176908659,-11.6759649286762,3.21210056431076e-24,3.20792483357716e-20,44.2025731306644,"Downregulated"
"LCN2",3.2785127547033,11.1382115620418,11.2978927477908,4.35801795468648e-23,2.90156835423026e-19,41.6673047425351,"Upregulated"
"PAQR5",-2.0094767731177,7.44924796613361,-11.1201719771935,1.47640308994503e-22,6.22088683560687e-19,40.4808515333683,"Downregulated"
"IFITM3",1.3830604778682,10.1937241190192,11.0978516248793,1.72043038274013e-22,6.22088683560687e-19,40.3321078042643,"Upregulated"
"CNTN4",-1.18169699289019,5.58996068299078,-11.0857853029621,1.8686953546431e-22,6.22088683560687e-19,40.2517229350563,"Downregulated"
"RNF135",-0.618138977933636,8.34581058740719,-11.0216108816131,2.89961135555522e-22,8.27383388798001e-19,39.8245048261775,"No"
"DENND2B",0.615162145928679,8.08764841246401,10.9395207589604,5.08226118436035e-22,1.26891356120517e-18,39.2787920715254,"No"
"FRMD1",-1.14863440357732,6.67542489754287,-10.8862205695867,7.31278398053232e-22,1.62295052474614e-18,38.9249465747334,"Downregulated"
"BACE2",1.423194455333,10.3321960839835,10.6950480892622,2.68782513247965e-21,4.72011414994952e-18,37.65907472474,"Upregulated"
"SLC6A14",4.5749060841673,9.36105882023424,10.6887360695154,2.80559892298559e-21,4.72011414994952e-18,37.6173695494572,"Upregulated"
"HINFP",-0.606408394785439,8.00342361020178,-10.6871623384238,2.83575497143258e-21,4.72011414994952e-18,37.6069724235519,"No"
"SFXN1",-0.791668718952879,9.39147884540078,-10.6492615762115,3.66809008594075e-21,5.63587933666004e-18,37.3566873187447,"No"
"S100A11",1.2196219874781,11.5865769830154,10.4376764949979,1.53661926581107e-20,2.19231665823645e-17,35.9635731611302,"Upregulated"
"AP1AR",-0.755418049730331,8.07083249479188,-10.292429070681,4.09002172015691e-20,5.35107610719119e-17,35.0115257181314,"No"
"TAT",-0.832621007249325,5.28349488902645,-10.285455871875,4.28643324897662e-20,5.35107610719119e-17,34.9659110575246,"No"
"SLC38A4",-1.51608650211172,4.71054817241405,-10.1893550883056,8.17400613428476e-20,9.60397638389435e-17,34.3381651276471,"Downregulated"
"BMP8B",-0.82508401133084,7.74300221150214,-10.1595594762425,9.9816082143103e-20,1.10762579151463e-16,34.1438783963051,"No"
"PLS3",1.18851030408462,8.0815403580944,10.048033796767,2.10526853913182e-19,2.21319125266416e-16,33.4181449110839,"Upregulated"
"PARP8",1.0630813282269,8.40180775442499,9.81069182913006,1.0219528622899e-18,1.02062432356893e-15,31.881876476025,"Upregulated"
"UCK1",-0.359373057126851,9.20658874291147,-9.78085658219102,1.24542103825676e-18,1.18457332467336e-15,31.6895848639045,"No"
"NFKBIZ",1.26600975813474,8.98613035676078,9.7303013099724,1.7404226539579e-18,1.5801455495525e-15,31.3641877863664,"Upregulated"
"DUOX2",4.12867289205435,10.9369464031406,9.67565036301445,2.49741714260495e-18,2.16884391332136e-15,31.0130578959523,"Upregulated"
"PIK3R3",1.2264977176285,8.128936636904,9.592794150438,4.31231803914212e-18,3.58892668807603e-15,30.4819841116334,"Upregulated"
"CDC25B",1.18011221819645,8.26698903004141,9.57625953469461,4.80803651228418e-18,3.84142885185457e-15,30.3761911153747,"Upregulated"
"CDK20",-0.840539715072596,6.68173247686557,-9.53788788234447,6.18770379052267e-18,4.75358444276538e-15,30.130922304039,"No"
"FBXL3",-0.49888920137308,9.30889369331526,-9.53073389265301,6.4854411365171e-18,4.79778523188121e-15,30.0852324322776,"No"
"PAG1",-0.922034741998917,9.29552304126037,-9.47601324558648,9.28710390619215e-18,6.62502190793864e-15,29.7361505836577,"No"
"MXRA5",2.06006144536925,9.29101315246435,9.44530691181706,1.13566256798918e-17,7.82197383897101e-15,29.5405763128605,"Upregulated"
"GUCA2B",-2.22703238201741,9.72396378218319,-9.35150050139567,2.09670397142015e-17,1.39598550417154e-14,28.9445231951081,"Downregulated"
"CD55",1.52509072767174,11.160140648615,9.33142293784904,2.39005499344809e-17,1.53996640126233e-14,28.8172306613984,"Upregulated"
"STXBP1",1.10502812173297,8.49345123777875,9.29728854123386,2.98534182832306e-17,1.84713792719633e-14,28.6010490463202,"Upregulated"
"KCNE3",0.997291277947046,7.58154285319009,9.29390955192779,3.05174484817657e-17,1.84713792719633e-14,28.5796650435088,"No"
"PDIA4",0.856209507361005,10.7873130585573,9.18794590742955,6.07455710155065e-17,3.56862363371684e-14,27.910554875116,"No"
"FAM47E",-0.845035895971963,5.08137763820488,-9.1608181018148,7.24183271998129e-17,4.13281047854018e-14,27.7397244867861,"No"
"SETD9",-0.942946576129716,6.40322036084379,-9.12341940367883,9.22452593131435e-17,5.11807447089091e-14,27.5045348183329,"No"
"TIMP1",2.17752953322319,11.1304386170592,9.08153799213686,1.20904690474786e-16,6.48336136200592e-14,27.2415984995438,"Upregulated"
"XBP1",0.961742582990276,11.418362109735,9.07844273211665,1.23344213355475e-16,6.48336136200592e-14,27.2221848698306,"No"
"MT1M",-2.52749534300172,9.01432390040732,-9.06001659293263,1.38912559500257e-16,7.11446016271315e-14,27.1066689927295,"Downregulated"
"NOS2",2.70204604268637,10.3200648379064,8.98270873269034,2.28499660469002e-16,1.13314663637439e-13,26.6230304729019,"Upregulated"
"MT1H",-1.71755325390749,8.23496503533138,-8.97994298514304,2.32597437125013e-16,1.13314663637439e-13,26.6057586024494,"Downregulated"
"NAAA",-1.34514265611665,9.80706017005765,-8.95912753033966,2.65871762334671e-16,1.26441013830303e-13,26.4758364310618,"Downregulated"
"PDIA5",0.778012720163455,8.51060839203773,8.94666794443316,2.88007927833354e-16,1.33783031407986e-13,26.398126631949,"No"
"LPCAT1",1.22803215474795,8.90221490245909,8.92159128346464,3.38259561050255e-16,1.53554465282222e-13,26.2418577162011,"Upregulated"
"DGKD",-0.648714566705372,9.11246190541024,-8.90295973927099,3.8114824901219e-16,1.69179002794877e-13,26.1258681548249,"No"
"TLCD4",-1.48458787454837,8.33459584104588,-8.88637737546013,4.23837596626521e-16,1.84037655543872e-13,26.0227190760799,"Downregulated"
"WSCD1",-0.922759760041719,7.19897116346192,-8.78225844231969,8.23948609783939e-16,3.46840710634527e-13,25.376877441647,"No"
"DNAH7",-0.599551516582575,5.15402037906847,-8.78044859248726,8.33501257157169e-16,3.46840710634527e-13,25.3656791958349,"No"
"ANXA5",1.24619953713296,10.5060468036598,8.71175739405489,1.29001846654407e-15,5.25853650015332e-13,24.9413823198006,"Upregulated"
"ANKH",-0.810618860683235,8.93538193575134,-8.69473108212559,1.43720442806787e-15,5.74134424924554e-13,24.8364324740381,"No"
"MT1JP",-1.102516013231,7.15234806508163,-8.63331190906015,2.1206261368425e-15,8.30536989358669e-13,24.458581008301,"Downregulated"
"CNKSR3",-1.27837398783531,7.78613415894478,-8.62456871657758,2.24116104791897e-15,8.60864437906415e-13,24.4048871622336,"Downregulated"
"CDC14A",-1.4610183443968,8.28699094330742,-8.59281489732468,2.73894310575357e-15,1.03221980366645e-12,24.2100798146808,"Downregulated"
"ARHGAP35",-0.564233541446947,8.99221277214507,-8.58785187919205,2.82608805963532e-15,1.04533857228067e-12,24.1796604927599,"No"
"SPIN1",-0.439539714085706,9.66392974172024,-8.5570296348856,3.43232581851071e-15,1.23294897516531e-12,23.9909180265714,"No"
"TMEM184B",0.524375628458129,9.62227517713783,8.55590413740054,3.45675090664151e-15,1.23294897516531e-12,23.9840316183857,"No"
"TMEM63C",-1.2125564041514,5.58787669775004,-8.54981691521285,3.59187233839092e-15,1.2586676857372e-12,23.9467936114222,"Downregulated"
"SETD7",1.02599068735342,8.2822067720568,8.53869107258203,3.85251830053537e-15,1.3267275954292e-12,23.8787626530539,"Upregulated"
"MAP3K2",-0.598908522929156,8.82708569420336,-8.53156276545686,4.02928742893896e-15,1.36408452721401e-12,23.8351959988366,"No"
"EIF4EBP2",-0.714390900851567,10.9446576255614,-8.52073920139974,4.31318913586327e-15,1.43586066332888e-12,23.7690756723278,"No"
"LIPG",0.983277299301561,8.41176700785588,8.49701132523917,5.0068772223065e-15,1.63946501046475e-12,23.6242549006626,"No"
"SFXN5",-0.371974507097256,7.40836974123378,-8.47665663491279,5.68938633174806e-15,1.83290004177961e-12,23.5001661627174,"No"
"PAM",0.749201048665681,8.83952694944719,8.47069190760858,5.90632996391152e-15,1.84749650859324e-12,23.4638285998839,"No"
"SNX30",-0.800840032271038,8.34786928107065,-8.47033186900611,5.91968441724077e-15,1.84749650859324e-12,23.4616355862815,"No"
"C2",1.43355691831358,7.46475712445407,8.44702848988558,6.85085823533398e-15,2.07953193038002e-12,23.3197829573201,"Upregulated"
"GFUS",0.879607638777207,10.0914072165403,8.44424275870413,6.97147021506948e-15,2.07953193038002e-12,23.3028374364681,"No"
"ENC1",0.825724596726337,8.10676570342672,8.4441505087949,6.97550011692507e-15,2.07953193038002e-12,23.3022763262584,"No"
"IFITM2",1.25995091302687,9.60827438512047,8.43031302775124,7.60690229129141e-15,2.23441568185669e-12,23.2181412940791,"Upregulated"
"TCP11L1",-0.700405350499278,7.07261922577201,-8.41365748160246,8.44244779210961e-15,2.44390510434199e-12,23.1169549292944,"No"
"PDIA3",0.560701996416533,11.6817161792801,8.36276228071503,1.16018731969233e-14,3.31051164621924e-12,22.8083216428323,"No"
"IFITM1",1.05676801430046,11.3154577542734,8.34259906047326,1.3155896226438e-14,3.7010686088292e-12,22.6862881856948,"Upregulated"
"CNST",-0.535088617244786,7.16507649433449,-8.33867208443266,1.34817404335357e-14,3.7400594919367e-12,22.6625368620985,"No"
"MUC1",2.15110207699912,10.8567431933084,8.30219903288786,1.69171320960535e-14,4.62880543132291e-12,22.4421868197776,"Upregulated"
"GRIK2",-0.439841367119221,4.56104493035825,-8.28316350803033,1.90414250345539e-14,5.13964086000244e-12,22.3273634830638,"No"
"ZNF439",-0.563511179195833,6.14433251793595,-8.2664093324714,2.11286223522929e-14,5.62697470486263e-12,22.2264034953365,"No"
"DUOXA2",3.44389286660934,9.25407963772857,8.26357173572396,2.1503921080602e-14,5.6515699955782e-12,22.2093137525664,"Upregulated"
"HIF1A",1.14679229754178,11.0138663945174,8.25054283580741,2.33137081332634e-14,6.03760531339866e-12,22.1308811826049,"Upregulated"
"E2F3",0.47221181004027,6.96476466990121,8.24872925976875,2.35773112268497e-14,6.03760531339866e-12,22.1199682717937,"No"
"TMEM170A",-0.711453299524916,10.5710023891965,-8.24550277542912,2.40536032147567e-14,6.08160342546265e-12,22.1005562019032,"No"
"FZD3",0.764973185814467,6.52497983930103,8.24274606723712,2.44680929308573e-14,6.1090711025118e-12,22.0839733675997,"No"
"NDRG1",-0.659631892397895,11.3156080830724,-8.22260218409986,2.77194886906727e-14,6.81131507379477e-12,21.9628784493832,"No"
"IGSF9",-1.00325218060619,7.5036626311552,-8.22119067151383,2.79627433689382e-14,6.81131507379477e-12,21.9543984026849,"Downregulated"
"TRIB2",1.32529218891422,8.25457794908517,8.21584640096801,2.89030750828585e-14,6.95554243018091e-12,21.9222974954975,"Upregulated"
"RPS6KA2",0.764669633910851,7.88981366997782,8.21345077767225,2.93346961669775e-14,6.97537168141914e-12,21.9079111543583,"No"
"MT1A",-1.08510943316288,8.2082171622609,-8.21134778651346,2.97188544478459e-14,6.98358116166206e-12,21.8952837871425,"Downregulated"
"SLC7A1",0.664541541939581,9.24649838065482,8.1854904447782,3.48700978283394e-14,8.09878295375874e-12,21.7401497149294,"No"
"PDZK1IP1",1.69255469309122,10.2698560264088,8.17779315111676,3.65678307343949e-14,8.34123476550522e-12,21.6940140079856,"Upregulated"
"SLC25A42",-0.408672683853382,7.93536400988556,-8.17699184950359,3.67492069372414e-14,8.34123476550522e-12,21.6892123932445,"No"
"MTHFD2",1.02520181805985,8.69162768370249,8.15207759041,4.28557989622062e-14,9.61799694911355e-12,21.5400319581128,"Upregulated"
"PODXL",0.942482166670025,9.46116946888729,8.12446741538285,5.08024873501864e-14,1.12747653592514e-11,21.3749648959387,"No"
"MT1B",-0.726721572323948,6.95724976616415,-8.11621648610627,5.34489287597504e-14,1.17317461873325e-11,21.3256893053694,"No"
"SND1",0.476084899364636,9.59044838655819,8.10954420624432,5.56885352796904e-14,1.20904652573536e-11,21.2858593342985,"No"
